old_path,new_path,notes
/,/journal/,Homepage redirect
/articles,/journal/,Articles listing redirect
/articles/architectural-walking-tour-of-chalcot-square-a-street-by-street-guide-essential--1290/,/journal/architectural-walking-tour-of-chalcot-square-a-street-by-street-guide-essential--1290/,Article redirect
/articles/architectural-walking-tour-of-chalcot-square-a-street-by-street-guide-profession-1349/,/journal/architectural-walking-tour-of-chalcot-square-a-street-by-street-guide-profession-1349/,Article redirect
/articles/architectural-walking-tour-of-chalcot-square-a-street-by-street-guide-updated-gu-797/,/journal/architectural-walking-tour-of-chalcot-square-a-street-by-street-guide-updated-gu-797/,Article redirect
/articles/architectural-walking-tour-of-crediton-hill-a-street-by-street-guide-2024-editio-826/,/journal/architectural-walking-tour-of-crediton-hill-a-street-by-street-guide-2024-editio-826/,Article redirect
/articles/architectural-walking-tour-of-crediton-hill-a-street-by-street-guide-professiona-338/,/journal/architectural-walking-tour-of-crediton-hill-a-street-by-street-guide-professiona-338/,Article redirect
/articles/architectural-walking-tour-of-east-heath-road-a-street-by-street-guide-professio-458/,/journal/architectural-walking-tour-of-east-heath-road-a-street-by-street-guide-professio-458/,Article redirect
/articles/architectural-walking-tour-of-east-heath-road-a-street-by-street-guide-updated-g-215/,/journal/architectural-walking-tour-of-east-heath-road-a-street-by-street-guide-updated-g-215/,Article redirect
/articles/architectural-walking-tour-of-east-heath-road-a-street-by-street-guide-updated-g-558/,/journal/architectural-walking-tour-of-east-heath-road-a-street-by-street-guide-updated-g-558/,Article redirect
/articles/architectural-walking-tour-of-elm-row-a-street-by-street-guide-professional-pers-82/,/journal/architectural-walking-tour-of-elm-row-a-street-by-street-guide-professional-pers-82/,Article redirect
/articles/architectural-walking-tour-of-elsworthy-road-a-street-by-street-guide-what-you-n-1292/,/journal/architectural-walking-tour-of-elsworthy-road-a-street-by-street-guide-what-you-n-1292/,Article redirect
/articles/architectural-walking-tour-of-fellows-road-a-street-by-street-guide-2025-edition-1256/,/journal/architectural-walking-tour-of-fellows-road-a-street-by-street-guide-2025-edition-1256/,Article redirect
/articles/architectural-walking-tour-of-fitzjohns-avenue-a-street-by-street-guide-a-compre-341/,/journal/architectural-walking-tour-of-fitzjohns-avenue-a-street-by-street-guide-a-compre-341/,Article redirect
/articles/architectural-walking-tour-of-flask-walk-a-street-by-street-guide-a-comprehensiv-1379/,/journal/architectural-walking-tour-of-flask-walk-a-street-by-street-guide-a-comprehensiv-1379/,Article redirect
/articles/architectural-walking-tour-of-flask-walk-a-street-by-street-guide-updated-guide-655/,/journal/architectural-walking-tour-of-flask-walk-a-street-by-street-guide-updated-guide-655/,Article redirect
/articles/architectural-walking-tour-of-gayton-road-a-street-by-street-guide-a-comprehensi-951/,/journal/architectural-walking-tour-of-gayton-road-a-street-by-street-guide-a-comprehensi-951/,Article redirect
/articles/architectural-walking-tour-of-gayton-road-a-street-by-street-guide-professional--219/,/journal/architectural-walking-tour-of-gayton-road-a-street-by-street-guide-professional--219/,Article redirect
/articles/architectural-walking-tour-of-heath-street-a-street-by-street-guide-professional-305/,/journal/architectural-walking-tour-of-heath-street-a-street-by-street-guide-professional-305/,Article redirect
/articles/architectural-walking-tour-of-lawn-road-a-street-by-street-guide-2024-edition-637/,/journal/architectural-walking-tour-of-lawn-road-a-street-by-street-guide-2024-edition-637/,Article redirect
/articles/architectural-walking-tour-of-lawn-road-a-street-by-street-guide-expert-insights-498/,/journal/architectural-walking-tour-of-lawn-road-a-street-by-street-guide-expert-insights-498/,Article redirect
/articles/architectural-walking-tour-of-netherhall-gardens-a-street-by-street-guide-a-comp-1437/,/journal/architectural-walking-tour-of-netherhall-gardens-a-street-by-street-guide-a-comp-1437/,Article redirect
/articles/architectural-walking-tour-of-netherhall-gardens-a-street-by-street-guide-expert-1206/,/journal/architectural-walking-tour-of-netherhall-gardens-a-street-by-street-guide-expert-1206/,Article redirect
/articles/architectural-walking-tour-of-perrins-lane-a-street-by-street-guide-a-comprehens-1015/,/journal/architectural-walking-tour-of-perrins-lane-a-street-by-street-guide-a-comprehens-1015/,Article redirect
/articles/architectural-walking-tour-of-regents-park-road-a-street-by-street-guide-a-compr-1006/,/journal/architectural-walking-tour-of-regents-park-road-a-street-by-street-guide-a-compr-1006/,Article redirect
/articles/architectural-walking-tour-of-south-end-road-a-street-by-street-guide-a-comprehe-564/,/journal/architectural-walking-tour-of-south-end-road-a-street-by-street-guide-a-comprehe-564/,Article redirect
/articles/architectural-walking-tour-of-south-end-road-a-street-by-street-guide-what-you-n-199/,/journal/architectural-walking-tour-of-south-end-road-a-street-by-street-guide-what-you-n-199/,Article redirect
/articles/article-4-directions-explained-implications-for-belsize-park-properties-2024-edi-706/,/journal/article-4-directions-explained-implications-for-belsize-park-properties-2024-edi-706/,Article redirect
/articles/article-4-directions-explained-implications-for-belsize-park-properties-2025-edi-889/,/journal/article-4-directions-explained-implications-for-belsize-park-properties-2025-edi-889/,Article redirect
/articles/article-4-directions-explained-implications-for-chalk-farm-properties-2024-editi-808/,/journal/article-4-directions-explained-implications-for-chalk-farm-properties-2024-editi-808/,Article redirect
/articles/article-4-directions-explained-implications-for-chalk-farm-properties-a-comprehe-1255/,/journal/article-4-directions-explained-implications-for-chalk-farm-properties-a-comprehe-1255/,Article redirect
/articles/article-4-directions-explained-implications-for-gospel-oak-properties-updated-gu-195/,/journal/article-4-directions-explained-implications-for-gospel-oak-properties-updated-gu-195/,Article redirect
/articles/article-4-directions-explained-implications-for-gospel-oak-properties-what-you-n-1149/,/journal/article-4-directions-explained-implications-for-gospel-oak-properties-what-you-n-1149/,Article redirect
/articles/article-4-directions-explained-implications-for-hampstead-garden-suburb-properti-1412/,/journal/article-4-directions-explained-implications-for-hampstead-garden-suburb-properti-1412/,Article redirect
/articles/article-4-directions-explained-implications-for-hampstead-garden-suburb-properti-372/,/journal/article-4-directions-explained-implications-for-hampstead-garden-suburb-properti-372/,Article redirect
/articles/article-4-directions-explained-implications-for-kentish-town-properties-what-you-746/,/journal/article-4-directions-explained-implications-for-kentish-town-properties-what-you-746/,Article redirect
/articles/article-4-directions-explained-implications-for-primrose-hill-properties-essenti-1377/,/journal/article-4-directions-explained-implications-for-primrose-hill-properties-essenti-1377/,Article redirect
/articles/article-4-directions-explained-implications-for-south-hampstead-properties-2025--781/,/journal/article-4-directions-explained-implications-for-south-hampstead-properties-2025--781/,Article redirect
/articles/article-4-directions-explained-implications-for-south-hampstead-properties-exper-159/,/journal/article-4-directions-explained-implications-for-south-hampstead-properties-exper-159/,Article redirect
/articles/article-4-directions-explained-implications-for-swiss-cottage-properties-updated-105/,/journal/article-4-directions-explained-implications-for-swiss-cottage-properties-updated-105/,Article redirect
/articles/article-4-directions-explained-implications-for-west-hampstead-properties-a-comp-487/,/journal/article-4-directions-explained-implications-for-west-hampstead-properties-a-comp-487/,Article redirect
/articles/article-4-directions-explained-implications-for-west-hampstead-properties-update-545/,/journal/article-4-directions-explained-implications-for-west-hampstead-properties-update-545/,Article redirect
/articles/article-4-hampstead-guide/,/journal/article-4-hampstead-guide/,Article redirect
/articles/arts-and-crafts-movement-the-houses-of-belsize-park-professional-perspective-1264/,/journal/arts-and-crafts-movement-the-houses-of-belsize-park-professional-perspective-1264/,Article redirect
